safari-50,safari-100,safari-250,safari-500,safari-1000,safari-1500,safari-2000
79,192,325,622,1288,747,984
205,88,131.00000000000003,251,521,731,1064
35,84,136,259,472,721,1105
37.00000000000001,95.00000000000001,124,284,461.00000000000006,726,940.0000000000001
34,53.00000000000003,140,271,456,794,946.0000000000001
33,74,175,278.00000000000006,522,834,968
38,91,160,256,524,848,925
25,84,169,310,531,769,1035
62,97,158,287,487,696,956
25,67,131,255,512,690.0000000000001,950
25.999999999999993,147,126,283,524,707,1109
28,90,134.00000000000003,289,562.0000000000001,672,1031
25,83,189.00000000000003,262,516,674.0000000000001,949
26,69,203,238,480,749,968
31,115,180,241,529,668,932.0000000000001
33,80,166,296,417,672,908
31,109,141,222,559.0000000000001,749,962
30,107,130,312,477,678,937.0000000000001
33,92,163.00000000000003,358,477,775,963
32,66,189,236,497,737,1074
34,65,134.00000000000003,249,475.0000000000001,745,889
26,70,122,231,494,765,976
25,82,138,291,507,766,875
32,76,128,238,455,745,1035
28,66,178,293,468.00000000000006,677.0000000000001,1003.0000000000001
