safari-1,safari-2,safari-4,safari-8,safari-16,safari-32,safari-64
129.00000000000003,133,147,138,266,351,502
132,107.00000000000001,127.00000000000003,142,245,299,502
141,114,108,146,276,295,436
195,136,219,160.00000000000003,207,312,528
195.00000000000003,143,115,220,171,313,398.00000000000006
124,103,134,202,262,339.00000000000006,496
37.00000000000001,119,125,141,185,273.00000000000006,506
131.00000000000003,136,139,220,269,285,497
96,133,207,217,183,361,457
32,108,121,216,150,242,477
103,138,124,147,199,282,484
129.00000000000003,125,111,222.00000000000003,185,247,476
124.00000000000003,124,113,139,189.00000000000003,360,518
129.00000000000003,116,140,146,178,268,464
112,139,215,155,290,338,509
129.00000000000003,105.00000000000001,200,141,267,363,481
126,206,124,143,279,304,430
111,136,217,155,271.00000000000006,344,393
39.00000000000001,115,207,210,280,363,429
71,174,143,251,258,278,464
123,206,193.00000000000003,140,180,237,492
187,140,144,147,165,266,470
127,97,197,220,212,345,474
145.00000000000003,108,222.00000000000003,223.00000000000003,170,344,415
138,201,235,246,257,254,498
122,148,171,162.00000000000003,211,299,451
98,109,122.00000000000003,133,182,257,397.00000000000006
139,103,197,238,175,353,504
191.00000000000003,202,132.00000000000003,226.00000000000003,274,360,418
137,119,210,227,243,380,558.0000000000001
124,111,223.00000000000003,171,210,255,502
94,109,112,159,185,285,498
174,120,195.00000000000003,140,201,327,479
156,140,118.00000000000003,146,180,358,516
116,94,132,244,267,279,488
116,132.00000000000003,156,234,181,279,415
191.00000000000003,141,120,213,213,261,483
138,42,213,233,177,345,441
180,131,125,211,272.00000000000006,348,501
202,129.00000000000003,137,140,189,263,510
124,93,119,248,256,292,526
188,114,128,131.00000000000003,183,256,478
125,145,137,135,211,245,475
218,121,207,141,172,338.00000000000006,479
117,104,124,141,274.00000000000006,240,494
122,125,150,140,167,341,525
113,200,148,174,211,355,480
121,134,199,217,216,307,494
116,117,136,137,276,355,440
135,141,195.00000000000003,221,199,289,393.00000000000006
115,143,152,148,263,331,505
136,181,179,222.00000000000003,271,355,507
128,128,103,175,184,362,498
119,185,131.00000000000003,145,184,273,498
148,106.00000000000001,105,134,176,284,455.00000000000006
126,105,117,231,158,257,466
126,156,114,212.00000000000003,241,364,523
121,139,101,240,168,335.00000000000006,515
134,157,147,163.00000000000003,175,305,488
117,197,116,215,188,338.00000000000006,541
194.00000000000003,122,122,257,266,290,524
181,127,202,219,194.00000000000003,269,445
96,105.00000000000001,117,220,261,229,479
40.00000000000001,108,209,196.00000000000003,223.00000000000003,226,420
170,133,148,88,246,362,493
133,133,204,213,179,257,418
140,226,233,166,175,249,408
146,140,218,235,269.00000000000006,332,497
120,196,205,221,240,349,526
208,137,102,114,179,370,469
129,217,208,249,270.00000000000006,251,483
128,182,134,218,342,348,517
131.00000000000003,151,226,144,182,377,540
189,136,210,208,310,378,494
154,135,208,184,279,355,525
